"Country","Date","Total_Deaths","Per_Million_Total_Deaths"
"Albania",2020-03-09,0,0
"Albania",2020-03-10,0,0
"Albania",2020-03-11,0,0
"Albania",2020-03-12,1,0.347
"Albania",2020-03-13,1,0.347
"Albania",2020-03-14,1,0.347
"Albania",2020-03-15,1,0.347
"Albania",2020-03-16,1,0.347
"Albania",2020-03-17,1,0.347
"Albania",2020-03-18,1,0.347
"Albania",2020-03-19,2,0.695
"Albania",2020-03-20,2,0.695
"Albania",2020-03-21,2,0.695
"Albania",2020-03-22,2,0.695
"Albania",2020-03-23,2,0.695
"Albania",2020-03-24,4,1.39
"Albania",2020-03-25,5,1.737
"Albania",2020-03-26,5,1.737
"Albania",2020-03-27,6,2.085
"Albania",2020-03-28,9,3.127
"Albania",2020-03-29,10,3.475
"Albania",2020-03-30,10,3.475
"Albania",2020-03-31,12,4.17
"Albania",2020-04-01,15,5.212
"Albania",2020-04-02,15,5.212
"Albania",2020-04-03,16,5.56
"Albania",2020-04-04,17,5.907
"Albania",2020-04-05,19,6.602
"Albania",2020-04-06,21,7.297
"Albania",2020-04-07,22,7.645
"Albania",2020-04-08,22,7.645
"Albania",2020-04-09,22,7.645
"Albania",2020-04-10,23,7.992
"Albania",2020-04-11,23,7.992
"Albania",2020-04-12,23,7.992
"Albania",2020-04-13,23,7.992
"Albania",2020-04-14,23,7.992
"Albania",2020-04-15,24,8.34
"Albania",2020-04-16,25,8.687
"Albania",2020-04-17,26,9.035
"Albania",2020-04-18,26,9.035
"Albania",2020-04-19,26,9.035
"Albania",2020-04-20,26,9.035
"Albania",2020-04-21,26,9.035
"Albania",2020-04-22,26,9.035
"Albania",2020-04-23,27,9.382
"Albania",2020-04-24,27,9.382
"Albania",2020-04-25,27,9.382
"Albania",2020-04-26,27,9.382
"Albania",2020-04-27,28,9.73
"Albania",2020-04-28,28,9.73
"Albania",2020-04-29,30,10.425
"Albania",2020-04-30,31,10.772
"Albania",2020-05-01,31,10.772
"Albania",2020-05-02,31,10.772
"Albania",2020-05-03,31,10.772
"Albania",2020-05-04,31,10.772
"Albania",2020-05-05,31,10.772
"Albania",2020-05-06,31,10.772
"Albania",2020-05-07,31,10.772
"Albania",2020-05-08,31,10.772
"Albania",2020-05-09,31,10.772
"Albania",2020-05-10,31,10.772
"Albania",2020-05-11,31,10.772
"Albania",2020-05-12,31,10.772
"Albania",2020-05-13,31,10.772
"Albania",2020-05-14,31,10.772
"Albania",2020-05-15,31,10.772
"Albania",2020-05-16,31,10.772
"Albania",2020-05-17,31,10.772
"Albania",2020-05-18,31,10.772
"Albania",2020-05-19,31,10.772
"Albania",2020-05-20,31,10.772
"Albania",2020-05-21,31,10.772
"Albania",2020-05-22,31,10.772
"Albania",2020-05-23,31,10.772
"Albania",2020-05-24,31,10.772
"Albania",2020-05-25,32,11.12
"Albania",2020-05-26,32,11.12
"Albania",2020-05-27,33,11.467
"Albania",2020-05-28,33,11.467
"Albania",2020-05-29,33,11.467
"Albania",2020-05-30,33,11.467
"Albania",2020-05-31,33,11.467
"Albania",2020-06-01,33,11.467
"Albania",2020-06-02,33,11.467
"Albania",2020-06-03,33,11.467
