"Country","Diabetes_Prevalence","Over_70","Total_Deaths","Per_Million_Total_Deaths"
"Afghanistan",9.59,1.337,733,18.829
"Albania",10.08,8.643,58,20.154
"Algeria",6.73,3.857,905,20.638
"Andorra",7.97,NA,52,673.008
"Angola",3.94,1.362,11,0.335
"Anguilla",NA,NA,0,0
"Antigua and Barbuda",13.17,4.631,3,30.635
"Argentina",5.5,7.441,1280,28.321
"Armenia",7.11,7.571,443,149.499
"Aruba",11.62,7.452,3,28.099
"Australia",5.07,10.129,104,4.078
"Austria",6.35,13.748,703,78.056
"Azerbaijan",7.11,3.871,206,20.317
"Bahamas",13.17,5.2,11,27.972
"Bahrain",16.52,1.387,84,49.366
"Bangladesh",8.38,3.262,1783,10.826
"Barbados",13.57,9.473,7,24.359
"Belarus",5.18,9.788,387,40.955
"Belgium",4.29,12.849,9761,842.219
"Belize",17.11,2.279,2,5.03
"Benin",0.99,1.942,19,1.567
"Bermuda",13,NA,9,144.525
"Bhutan",9.75,2.977,0,0
"Bolivia",6.89,4.393,1071,91.75
"Bonaire Sint Eustatius and Saba",NA,NA,0,0
"Bosnia and Herzegovina",10.08,10.711,183,55.779
"Botswana",4.81,2.242,1,0.425
"Brazil",8.11,5.06,58314,274.342
"British Virgin Islands",13.67,NA,1,33.072
"Brunei",12.79,2.382,3,6.857
"Bulgaria",5.81,13.272,223,32.094
"Burkina Faso",2.42,1.358,53,2.535
"Burundi",6.05,1.504,1,0.084
"Cambodia",4,2.385,0,0
"Cameroon",7.2,1.919,313,11.791
"Canada",7.37,10.797,8566,226.961
"Cape Verde",2.42,3.437,12,21.583
"Cayman Islands",13.22,NA,1,15.216
"Central African Republic",6.1,2.251,47,9.731
"Chad",6.1,1.446,74,4.505
"Chile",8.46,6.938,5575,291.637
"China",9.74,5.929,4641,3.224
"Colombia",7.44,4.312,3223,63.342
"Comoros",11.88,1.726,7,8.05
"Congo",7.2,2.063,40,7.249
"Costa Rica",8.78,5.694,15,2.945
"Cote d'Ivoire",2.42,1.582,66,2.502
"Croatia",5.59,13.053,107,26.064
"Cuba",8.27,9.719,86,7.593
"Curacao",11.62,10.068,1,6.094
"Cyprus",9.24,8.563,19,21.692
"Czech Republic",6.82,11.58,348,32.496
"Democratic Republic of Congo",6.1,1.745,167,1.865
"Denmark",6.41,12.325,605,104.451
"Djibouti",6.05,2.38,53,53.644
"Dominica",11.62,NA,0,0
"Dominican Republic",8.2,4.419,733,67.571
"Ecuador",5.55,4.458,4502,255.171
"Egypt",17.31,2.891,2872,28.065
"El Salvador",8.87,5.417,164,25.284
"Equatorial Guinea",7.78,1.752,32,22.809
"Eritrea",6.05,2.171,0,0
"Estonia",4.02,13.491,69,52.015
"Ethiopia",7.47,2.063,103,0.896
"Faeroe Islands",NA,NA,0,0
"Falkland Islands",NA,NA,0,0
"Fiji",14.49,3.284,0,0
"Finland",5.76,13.264,328,59.198
"France",4.77,13.079,29813,456.74
"French Polynesia",22.63,4.593,0,0
"Gabon",7.2,2.976,42,18.87
"Gambia",1.91,1.417,2,0.828
"Georgia",7.11,10.244,15,3.76
"Germany",8.31,15.957,8973,107.097
"Ghana",4.97,1.948,112,3.604
"Gibraltar",NA,NA,0,0
"Greece",4.55,14.524,191,18.325
"Greenland",2.16,NA,0,0
"Grenada",10.71,5.021,0,0
"Guam",21.52,5.493,5,29.624
"Guatemala",10.18,3.016,746,41.64
"Guernsey",NA,NA,13,193.879
"Guinea",2.42,1.733,31,2.361
"Guinea-Bissau",2.42,1.565,21,10.671
"Guyana",11.62,2.837,12,15.256
"Haiti",6.65,2.954,105,9.208
"Honduras",7.21,2.883,485,48.967
"Hong Kong",8.33,10.158,NA,NA
"Hungary",7.55,11.976,585,60.557
"Iceland",5.31,9.207,10,29.304
"India",10.39,3.414,16893,12.241
"Indonesia",6.32,3.053,2805,10.255
"Iran",9.59,3.182,10670,127.034
"Iraq",8.83,1.957,1839,45.721
"Ireland",3.28,8.678,1735,351.371
"Isle of Man",NA,NA,24,282.247
"Israel",6.74,7.359,319,36.855
"Italy",4.78,16.24,34744,574.644
"Jamaica",11.28,6.39,10,3.377
"Japan",5.72,18.493,972,7.685
"Jersey",NA,NA,31,306.709
"Jordan",11.75,2.361,9,0.882
"Kazakhstan",7.11,4.625,188,10.012
