"Country","Date","Total_Deaths","Per_Million_Total_Deaths"
"Afghanistan",2020-06-30,733,18.829
"Albania",2020-06-30,58,20.154
"Algeria",2020-06-30,905,20.638
"Andorra",2020-06-30,52,673.008
"Angola",2020-06-30,11,0.335
"Anguilla",2020-06-30,0,0
"Antigua and Barbuda",2020-06-30,3,30.635
"Argentina",2020-06-30,1280,28.321
"Armenia",2020-06-30,443,149.499
"Aruba",2020-06-30,3,28.099
"Australia",2020-06-30,104,4.078
"Austria",2020-06-30,703,78.056
"Azerbaijan",2020-06-30,206,20.317
"Bahamas",2020-06-30,11,27.972
"Bahrain",2020-06-30,84,49.366
"Bangladesh",2020-06-30,1783,10.826
"Barbados",2020-06-30,7,24.359
"Belarus",2020-06-30,387,40.955
"Belgium",2020-06-30,9761,842.219
"Belize",2020-06-30,2,5.03
"Benin",2020-06-30,19,1.567
"Bermuda",2020-06-30,9,144.525
"Bhutan",2020-06-30,0,0
"Bolivia",2020-06-30,1071,91.75
"Bonaire Sint Eustatius and Saba",2020-06-30,0,0
"Bosnia and Herzegovina",2020-06-30,183,55.779
"Botswana",2020-06-30,1,0.425
"Brazil",2020-06-30,58314,274.342
"British Virgin Islands",2020-06-30,1,33.072
"Brunei",2020-06-30,3,6.857
"Bulgaria",2020-06-30,223,32.094
"Burkina Faso",2020-06-30,53,2.535
"Burundi",2020-06-30,1,0.084
"Cambodia",2020-06-30,0,0
"Cameroon",2020-06-30,313,11.791
"Canada",2020-06-30,8566,226.961
"Cape Verde",2020-06-30,12,21.583
"Cayman Islands",2020-06-30,1,15.216
"Central African Republic",2020-06-30,47,9.731
"Chad",2020-06-30,74,4.505
"Chile",2020-06-30,5575,291.637
"China",2020-06-30,4641,3.224
"Colombia",2020-06-30,3223,63.342
"Comoros",2020-06-30,7,8.05
"Congo",2020-06-30,40,7.249
"Costa Rica",2020-06-30,15,2.945
"Cote d'Ivoire",2020-06-30,66,2.502
"Croatia",2020-06-30,107,26.064
